_id,OBJECTID,STRUCTID,ADDRESS,STREETNAME,CROSSSTREET1,CROSSSTREET2,SUFFIX,UNIT_NUMBER,TREE_POSITION_NUMBER,SITE,WARD,COMMON_NAME,DBH_TRUNK,geometry
3319843,9083,101306,47,JOPLING AVE N,TYRE AVE,MATTICE AVE,,0.0,10.0,,2.0,Ginkgo,12.0,"{'type': 'Point', 'coordinates': (-79.5410189708867, 43.6445353265978)}"
3319844,9084,ET105440,3,THORNLY CRES,VASSAR DR,BEAVERBROOK AVE,,0.0,10.0,,2.0,"Maple, Norway",78.0,"{'type': 'Point', 'coordinates': (-79.545938593005, 43.6610857454361)}"
3319845,9085,195703,40,FOREST WOOD,GLENCAIRN AVE,GLENGROVE AVE,,0.0,10.0,,8.0,Sweetgum,5.0,"{'type': 'Point', 'coordinates': (-79.4264946249141, 43.7139201944808)}"
3319846,9086,220789,11,DONOFREE RD,MAPLE LEAF DR,,,0.0,900.0,,5.0,"Maple, Freeman 'Autumn Blaze'",8.0,"{'type': 'Point', 'coordinates': (-79.4794000064766, 43.7140748942203)}"
3319847,9087,245740,19,NEVADA AVE,CONACHER DR,GOSSAMER AVE,,0.0,10.0,,18.0,"Planetree, London",5.0,"{'type': 'Point', 'coordinates': (-79.3988705856276, 43.7995421811898)}"
3319848,9088,ET71304,90,NORFIELD CRES,GEM PL,SHENDALE DR,,0.0,40.0,,1.0,Cedar,16.0,"{'type': 'Point', 'coordinates': (-79.5503938296953, 43.7188887221913)}"
3319849,9089,TO66653,174,NEVILLE PARK BLVD,QUEEN ST E,,,0.0,10.0,,19.0,"Maple, Norway",90.0,"{'type': 'Point', 'coordinates': (-79.2832756152551, 43.6770163960712)}"
3319850,9090,SC18361,231,BIRKDALE RD,ABBOTTSWOOD RD,ELLESMERE RD,,0.0,10.0,,21.0,"Maple, Norway globe",35.0,"{'type': 'Point', 'coordinates': (-79.2656813178648, 43.7657971543891)}"
3319851,9091,625808,25,WANSTEAD AVE,LN N DANFORTH E PHARMACY,DENTON AVE,,0.0,10.0,,20.0,"Zelkova, Japanese 'Village Green'",6.0,"{'type': 'Point', 'coordinates': (-79.2825480023076, 43.6936801615371)}"
3319852,9092,ET110184,34,VANSCO RD,WICKMAN RD,NORTH QUEEN ST,,0.0,180.0,,3.0,Pine scots,4.0,"{'type': 'Point', 'coordinates': (-79.5360084163058, 43.6227487597213)}"
